Company,Country,City,Duration (Mins),Distance (KM),Snow,Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,Is_Nature,Type_of_trip,is_citizen,PPP,normalized_PPP
Teleferic de Montjuic,Spain,Barcelona,5,0.75,0,"12,150,000",12.42,0,1,1,0,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,10,1.5,0,"12,150,000",23.38,2,1,0,0,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,10,1.5,0,"12,150,000",16.95,0,1,0,0,46331.65211,0.49746215882159167
Port Cable Car,Spain,Barcelona,10,1.3,0,"12,150,000",16.05,2,1,1,0,46331.65211,0.49746215882159167
Port Cable Car,Spain,Barcelona,20,2.6,0,"12,150,000",24.07,2,1,0,0,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,5,0.75,0,"12,150,000",15.35,2,1,1,1,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,5,0.75,0,"12,150,000",12.42,0,1,1,1,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,10,1.5,0,"12,150,000",23.38,2,1,0,1,46331.65211,0.49746215882159167
Teleferic de Montjuic,Spain,Barcelona,10,1.5,0,"12,150,000",16.95,0,1,0,1,46331.65211,0.49746215882159167
Port Cable Car,Spain,Barcelona,10,1.3,0,"12,150,000",16.05,2,1,1,1,46331.65211,0.49746215882159167
Port Cable Car,Spain,Barcelona,20,2.6,0,"12,150,000",24.07,2,1,0,1,46331.65211,0.49746215882159167
Ba Na Hills Cablecar,Vietnam,Da Nang,17,6.12,0,"1,000,000",14.77,2,0,1,0,13461.00897,0.066369253
Ba Na Hills Cablecar,Vietnam,Da Nang,17,6.12,0,"1,000,000",10.3,0,0,1,0,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,2,1,0,0,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,0,1,0,0,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,1,1,0,0,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,3,1,0,0,13461.00897,0.066369253
Ba Na Hills Cablecar,Vietnam,Da Nang,17,6.12,0,"1,000,000",14.77,2,0,1,1,13461.00897,0.066369253
Ba Na Hills Cablecar,Vietnam,Da Nang,17,6.12,0,"1,000,000",10.3,0,0,1,1,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,2,1,0,1,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,0,1,0,1,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,1,1,0,1,13461.00897,0.066369253
Yen Tu Mountain Cable Car,Vietnam,Quảng Ninh,32,4.208,0,"16,200,000",15.24,3,1,0,1,13461.00897,0.066369253
Gulmarg Gondola,India,Gulmag,21,6.4,0,"1,650,000",34.93,2,0,1,0,8400.382848,0
Gulmarg Gondola,India,Gulmag,21,6.4,0,"1,650,000",34.93,2,0,1,1,8400.382848,0
Mt. Moiwa Ropeway,Japan,Sapporo,10,2.4,0,"15,230,000",6.23,2,0,0,0,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,10,2.4,0,"15,230,000",3.11,0,0,0,0,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,5,1.2,0,"15,230,000",3.11,2,0,1,0,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,5,1.2,0,"15,230,000",1.6,0,0,1,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",8.02,2,0,1,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",13.91,2,0,0,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",4.01,0,0,1,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",6.95,0,0,0,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",6.42,4,0,1,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",11.13,4,0,0,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",2,4,0,1,0,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",3.48,4,0,0,0,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,10,2.4,0,"15,230,000",6.23,2,0,0,1,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,10,2.4,0,"15,230,000",3.11,0,0,0,1,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,5,1.2,0,"15,230,000",3.11,2,0,1,1,45583.84697,0.48765482133158344
Mt. Moiwa Ropeway,Japan,Sapporo,5,1.2,0,"15,230,000",1.6,0,0,1,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",8.02,2,0,1,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",13.91,2,0,0,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",4.01,0,0,1,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",6.95,0,0,0,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,12,1.8,0,"1,000,000",6.42,4,0,1,1,45583.84697,0.48765482133158344
Maya Ropeway & Cable Car,Japan,Kobe,24,3.6,0,"1,000,000",11.13,4,0,0,1,45583.84697,0.48765482133158344
