Company,Country,City,Duration (Mins),Distance (KM),Tourist_volume_of_cable_car,Cable car Price (SGD),Age_range,is_citizen
Matterhorn Paradise - Zermatt - Matterhorn Glaceir Paradise ,Switzerland,Zermatt,80,16,"2,000,000",163,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,50,9,"2,000,000",163,2,0
Matterhorn Paradise - Zermatt - Testa Grigia ,Switzerland,Zermatt,100,18,"2,000,000",244,2,0
Grindelwald-Mannlichen GGM  ,Switzerland,Bern,19,6.3,"478,000",51,2,0
Grindelwald-Mannlichen GGM  ,Switzerland,Bern,38,12.6,"478,000",102,2,0
Grindelwald - Holenstein,Switzerland,Bern,10,2.5,"478,000",27,2,0
Grindelwald - Holenstein,Switzerland,Bern,20,5,"478,000",54,2,0
Kleine Scheidegg – Grindelwald Grund,Switzerland,Bern,14,3,"478,000",105.9,2,0
Schynige Platte,Switzerland,Interlaken,30,5,"1,000,000",96,2,0
Gelmer Funicular,Switzerland,Guttannen ,12,2.3,"43,000",27,2,0
Gelmer Funicular,Switzerland,Guttannen ,24,4.6,"43,000",54,2,0
Cable Car Taormina:  Taormina to the Mazzarò Bay ,Italy,Taormina,2,0.7,"3,950,000",8.75,2,0
Cable Car Taormina:  Taormina to the Mazzarò Bay ,Italy,Taormina,4,1.4,"3,950,000",14.59,2,0
Wellington Cable Car,New Zealand,Wellington,5,0.612,"1,470,000",8.91,2,0
Wellington Cable Car,New Zealand,Wellington,10,1.224,"1,470,000",4.86,2,0
Chamonix Cable Car,France,Charmonix,20,2.8,"500,000",81.73,2,0
Chamonix Cable Car,France,Charmonix,40,5.6,"500,000",109.45,2,0
Grenoble bastille Cable Car,France,Grenoble,8,2.8,"325,000",14.01,2,0
Grenoble bastille Cable Car,France,Grenoble,4,1.4,"325,000",9.49,2,0
Arthurs Seat Eagle Gondola Mornington Peninsula,Australia,Melbourne ,28,8.64,"13,900,000",27.25,2,0
Arthurs Seat Eagle Gondola Mornington Peninsula,Australia,Melbourne ,14,4.32,"13,900,000",20.21,2,0
Skyrail Rainforest Cableway,Australia,Queensland,30,7.5,"27,000,000",54.55,2,0
Skyrail Rainforest Cableway,Australia,Queensland,60,15,"27,000,000",81.82,2,0
Peak 2 Peak Gondola,Canada,Whistler,11,4.4,"3,000,000",131,2,0
Peak 2 Peak Gondola,Canada,Whistler,11,4.4,"3,000,000",97,2,0
Sugarloaf Cable Car,Brazil,Rio de Janeiro,3,0.85,"1,200,000",49.89,2,0
Table Mountain Aerial Cableway,South Africa,Cape Town,4.5,1.2,"1,200,000",25.56,2,0
Table Mountain Aerial Cableway,South Africa,Cape Town,8,2.4,"1,200,000",17.04,2,0
Palm Springs Aerial Tramway,USA,Palm Springs,10,4.02,"4,100,000",41.78,2,0
Jackson Hole Aerial Tram,USA,Jackson Hole,12,7.8,"1,600,000",67.5,2,0
Palisades Tahoe Aerial Tram,USA,Olympic Valley,10,2.4,"3,200,000",83.7,2,0
Palisades Tahoe Aerial Tram,USA,Olympic Valley,10,2.4,"3,200,000",97.2,2,0
Sandia Peak Tramway,USA,Albuquerque,30,8.6,"6,200,000",45.9,2,0
Sandia Peak Tramway,USA,Albuquerque,15,4.3,"6,200,000",31.05,2,0
